SRCID,D3,D3_norm,D1_avg,D1_norm,A4_avg,A4_norm,A3,A3_norm,A1,A1_norm,B1a,B1b,B1c,B1d,B1_avg,B1_avg_norm,B4,B4_norm,B6f,B6g,B6_avg,B6_avg_norm,B7,B7_norm,V1,V1_binary,V1_norm
1450,1,0,1,0,2.333333333,0.444444444,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,2,0,0.333333333
2638,1,0,2,0.25,2,0.333333333,5,0.5,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,4,4,4,0.75,2,0.5,4,1,1
2284,2,0.333333333,2.8,0.45,1.833333333,0.277777778,8,0.8,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,1,1,1,0,1,0,4,1,1
845,1,0,1.6,0.15,2.333333333,0.444444444,4,0.4,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
25,1,0,1.4,0.1,2,0.333333333,9,0.9,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,4,2.5,0.375,1,0,2,0,0.333333333
2204,3,0.666666667,3.6,0.65,2.166666667,0.388888889,5,0.5,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,2,2,2,0.25,1,0,4,1,1
1304,2,0.333333333,2.6,0.4,2,0.333333333,10,1,1,0,2,2,2,1,1.75,0.75,2,0.333333333,1,2,1.5,0.125,1,0,3,0,0.666666667
3234,2,0.333333333,2.2,0.3,1.333333333,0.111111111,9,0.9,1,0,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,4,1,1
1873,1,0,1,0,2,0.333333333,7,0.7,2,0.25,1,2,2,2,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
953,1,0,2.4,0.35,2.5,0.5,3,0.3,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,3,0,0.666666667
1295,1,0,1.4,0.1,2.166666667,0.388888889,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
1032,1,0,1.8,0.2,2.333333333,0.444444444,5,0.5,4,0.75,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,3,0,0.666666667
2073,1,0,1,0,1.833333333,0.277777778,9,0.9,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,4,1,1
3167,1,0,1.4,0.1,2,0.333333333,4,0.4,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
1256,1,0,1.4,0.1,2.666666667,0.555555556,8,0.8,4,0.75,2,2,2,2,2,1,3,0.666666667,4,5,4.5,0.875,2,0.5,4,1,1
1522,1,0,1.2,0.05,2.5,0.5,8,0.8,5,1,2,2,2,1,1.75,0.75,3,0.666666667,5,4,4.5,0.875,1,0,3,0,0.666666667
2391,1,0,1.2,0.05,1.333333333,0.111111111,9,0.9,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,3,3,3,0.5,2,0.5,4,1,1
2860,2,0.333333333,1.4,0.1,1.5,0.166666667,8,0.8,1,0,1,2,2,1,1.5,0.5,3,0.666666667,5,5,5,1,2,0.5,4,1,1
1561,1,0,1,0,1.833333333,0.277777778,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,3,5,4,0.75,1,0,4,1,1
1149,1,0,1.2,0.05,2.333333333,0.444444444,8,0.8,1,0,2,2,2,2,2,1,3,0.666666667,4,5,4.5,0.875,3,1,3,0,0.666666667
2283,1,0,1.6,0.15,1.833333333,0.277777778,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
1350,2,0.333333333,1.8,0.2,2.333333333,0.444444444,7,0.7,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,4,5,4.5,0.875,1,0,4,1,1
649,1,0,1,0,1.666666667,0.222222222,8,0.8,4,0.75,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
1624,1,0,1,0,1.166666667,0.055555556,8,0.8,1,0,2,2,2,2,2,1,4,1,4,5,4.5,0.875,2,0.5,3,0,0.666666667
3585,2,0.333333333,1,0,1.333333333,0.111111111,10,1,1,0,1,2,2,2,1.75,0.75,4,1,5,5,5,1,2,0.5,4,1,1
2178,1,0,1.4,0.1,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
361,3,0.666666667,3.4,0.6,2.333333333,0.444444444,3,0.3,4,0.75,1,2,1,1,1.25,0.25,3,0.666666667,2,3,2.5,0.375,2,0.5,4,1,1
1072,1,0,1,0,2,0.333333333,8,0.8,1,0,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
785,1,0,1,0,1.833333333,0.277777778,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,4,1,1
2834,2,0.333333333,3,0.5,2.5,0.5,4,0.4,4,0.75,2,2,2,1,1.75,0.75,4,1,5,5,5,1,3,1,1,0,0
706,1,0,1.6,0.15,1.666666667,0.222222222,6,0.6,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,4,1,1
1147,1,0,1.2,0.05,1.5,0.166666667,7,0.7,2,0.25,2,2,2,2,2,1,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
878,2,0.333333333,1.4,0.1,1.833333333,0.277777778,5,0.5,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,1,1,1,0,1,0,4,1,1
1631,1,0,1.6,0.15,2.5,0.5,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
2304,1,0,1.8,0.2,1.833333333,0.277777778,6,0.6,2,0.25,1,2,1,2,1.5,0.5,2,0.333333333,1,1,1,0,1,0,4,1,1
1264,1,0,1.6,0.15,1.666666667,0.222222222,5,0.5,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,1,0,0
1050,1,0,1.4,0.1,2,0.333333333,8,0.8,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,3,0,0.666666667
374,1,0,1,0,1.666666667,0.222222222,5,0.5,2,0.25,1,2,2,1,1.5,0.5,4,1,1,1,1,0,1,0,3,0,0.666666667
259,1,0,1,0,2.333333333,0.444444444,7,0.7,4,0.75,2,2,2,2,2,1,3,0.666666667,5,5,5,1,3,1,2,0,0.333333333
275,1,0,1,0,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,4,1,1
1007,1,0,1.6,0.15,1.833333333,0.277777778,5,0.5,1,0,1,2,2,1,1.5,0.5,2,0.333333333,5,5,5,1,1,0,4,1,1
